,submission_id,submission_state,education,employment_status,percentage,financial_situation,age,are_children_attending_face_to_face_classes,does_home_shows_severe_deficit_of_electricity,do_children_3_and_17_yrs_receive_regular_school_meals,are_there_children_who_stopped_enrolling_in_primary_education,geography,are_there_teachers_at_scheduled_class_hours,are_there_children_who_stopped_enrolling_in_secondary_education,are_children_being_teached_by_unqualified_people,gender,does_home_shows_severe_deficit_of_internet,do_children_have_internet_connection,do_school_and_the_teachers_have_internet_connection,do_children_3_to_17_yrs_miss_virtual_class_due_to_lack_of_electricity,do_children_3_to_17_yrs_miss_class_or_in_lower_grade
2663,4767749825101824,Distrito Federal,9,"I work part-time, either as an employee or self-employed",0.9,Good_situation,16 to 25 years old,0,1,No,1,Suburban/Peri-urban,There are not enough,1,1,Male,1,1,1,1,1
2664,6703075762110464,Distrito Federal,4,I am unemployed,0.9,Midium_situation,16 to 25 years old,0,1,No,0,Rural,There are enough,0,1,Female,1,1,1,0,1
2665,5404676630773760,Distrito Federal,9,"I work part-time, either as an employee or self-employed",0.9,Better_situation,Over 45 years old,0,0,No,1,Suburban/Peri-urban,Irregularly,1,1,Male,1,1,1,1,1
2666,4792366094614528,Carabobo,9,I am unemployed,0.93,Bad_situation,26 to 35 years old,0,0,No,1,Suburban/Peri-urban,There are not enough,0,0,Female,1,1,1,0,0
2667,6090577941889024,Carabobo,8,I am a student,0.93,Bad_situation,16 to 25 years old,1,0,1 day,1,Rural,There are enough,1,1,Male,1,1,1,1,1
2668,6528774664617984,Bolívar,5,I am a student and I work part-time,0.96,Good_situation,16 to 25 years old,1,0,No,0,Rural,Irregularly,0,1,Female,1,0,0,1,0
2670,4514876008693760,Miranda,6,"I work part-time, either as an employee or self-employed",0.88,Better_situation,36 to 45 years old,0,0,No,0,Suburban/Peri-urban,There are enough,0,0,Male,1,1,1,1,0
2671,4901906198822912,Miranda,8,I am a student and I work part-time,0.88,Midium_situation,26 to 35 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,1,Female,1,1,0,1,0
2672,6312106902421504,Vargas,10,"I work full-time, either as an employee or self-employed",0.9340446876424989,Bad_situation,26 to 35 years old,0,0,No,0,Rural,Irregularly,0,0,Female,1,0,1,0,0
2673,4982041379864576,Sucre,3,I am a student,0.98,Bad_situation,16 to 25 years old,0,0,No,0,Rural,Irregularly,1,1,Female,1,0,0,0,1
2674,5843778517860352,Bolívar,8,I am a student,0.96,Bad_situation,16 to 25 years old,0,0,No,1,Rural,There are not enough,1,1,Male,1,1,1,1,0
2675,6002326631612416,Bolívar,7,I am retired,0.96,Good_situation,Over 45 years old,0,0,No,0,Rural,Irregularly,0,0,Male,1,0,0,1,1
2676,6281297508171776,Bolívar,7,I am unemployed,0.96,Better_situation,16 to 25 years old,1,1,No,0,Suburban/Peri-urban,Irregularly,1,1,Male,1,1,1,1,0
2677,6087522055880704,Bolívar,7,"I do housework, fulfilling domestic tasks, looking after children",0.96,Bad_situation,26 to 35 years old,0,0,No,1,Rural,There are not enough,0,0,Female,1,0,1,1,0
2678,4695780266082304,Bolívar,6,I am a student,0.96,Midium_situation,16 to 25 years old,1,1,No,0,Rural,Irregularly,1,1,Female,1,1,1,1,1
2680,4615890586042368,Trujillo,6,I am a student and I work part-time,0.97,Better_situation,16 to 25 years old,1,1,No,0,Suburban/Peri-urban,There are not enough,1,0,Male,1,1,1,0,0
2681,4753009497341952,Carabobo,9,"I work full-time, either as an employee or self-employed",0.93,Better_situation,36 to 45 years old,0,1,4 days,1,Suburban/Peri-urban,Irregularly,1,0,Female,1,0,1,1,0
2682,4968727048355840,Carabobo,5,"I work part-time, either as an employee or self-employed",0.93,Midium_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,There are not enough,0,1,Female,1,1,0,1,0
2683,4642877811720192,Carabobo,3,"I work part-time, either as an employee or self-employed",0.93,Midium_situation,26 to 35 years old,0,1,No,0,Rural,Irregularly,0,0,Male,1,1,1,1,0
2684,5982820702093312,Carabobo,9,"I do housework, fulfilling domestic tasks, looking after children",0.93,Better_situation,26 to 35 years old,0,0,No,0,Rural,Irregularly,0,0,Female,1,0,0,1,1
2685,6544264514502656,Carabobo,4,I am a student,0.93,Bad_situation,16 to 25 years old,1,0,No,0,Suburban/Peri-urban,There are not enough,0,0,Female,1,0,0,1,1
2690,5572631058448384,Carabobo,10,"I work part-time, either as an employee or self-employed",0.93,Bad_situation,26 to 35 years old,0,1,1 day,1,Rural,Irregularly,1,1,Male,1,1,1,1,1
2691,6332121466798080,Carabobo,6,"I work part-time, either as an employee or self-employed",0.93,Bad_situation,26 to 35 years old,0,0,Every day,0,Suburban/Peri-urban,Irregularly,0,1,Female,1,0,0,1,0
2692,6681532474589184,Carabobo,7,"I work part-time, either as an employee or self-employed",0.93,Better_situation,Over 45 years old,0,0,Every day,0,City center or metropolitan area,There are not enough,0,0,Male,1,1,0,1,0
2693,6695823185543168,Carabobo,10,"I work part-time, either as an employee or self-employed",0.93,Midium_situation,36 to 45 years old,0,0,No,1,Suburban/Peri-urban,Irregularly,1,1,Male,1,0,0,1,1
2695,6437927113719808,Carabobo,10,"I work part-time, either as an employee or self-employed",0.93,Midium_situation,Over 45 years old,0,1,No,0,City center or metropolitan area,There are not enough,0,0,Male,1,0,0,1,0
2696,4814252643975168,Carabobo,5,I am a student and I work part-time,0.93,Midium_situation,16 to 25 years old,1,1,No,1,City center or metropolitan area,There are enough,1,1,Female,1,1,1,1,1
2697,6626292366835712,Carabobo,8,I am unemployed,0.93,Midium_situation,Over 45 years old,0,0,No,1,City center or metropolitan area,Irregularly,0,0,Female,1,1,0,1,0
2698,5182712234377216,Carabobo,6,"I work full-time, either as an employee or self-employed",0.93,Bad_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,There are not enough,0,1,Male,1,1,1,1,0
2702,5260255251660800,Distrito Federal,7,"I do housework, fulfilling domestic tasks, looking after children",0.9,Better_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Female,1,1,1,0,0
2704,5921711504752640,Distrito Federal,9,"I work full-time, either as an employee or self-employed",0.9,Good_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,There are not enough,0,0,Female,1,0,0,0,0
2705,4694340680286208,Distrito Federal,7,"I work full-time, either as an employee or self-employed",0.9,Good_situation,36 to 45 years old,0,0,No,1,City center or metropolitan area,Irregularly,1,1,Male,1,1,0,1,0
2706,6634574473068544,Carabobo,9,I am unemployed,0.93,Midium_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Female,1,1,1,1,0
2707,6569153782874112,Distrito Federal,9,"I work full-time, either as an employee or self-employed",0.9,Good_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Male,1,1,0,1,0
2709,5256804530651136,Distrito Federal,8,"I work full-time, either as an employee or self-employed",0.9,Bad_situation,Over 45 years old,0,0,No,1,City center or metropolitan area,There are not enough,0,1,Male,1,0,0,0,1
2710,5857183999983616,Distrito Federal,6,"I do housework, fulfilling domestic tasks, looking after children",0.9,Better_situation,36 to 45 years old,0,0,Every day,1,City center or metropolitan area,There are enough,0,1,Female,1,0,0,0,0
2711,4576888592007168,Distrito Federal,9,"I work full-time, either as an employee or self-employed",0.9,Better_situation,26 to 35 years old,0,0,1 day,1,City center or metropolitan area,Irregularly,0,0,Female,1,1,1,1,1
2712,4661098405167104,Miranda,9,"I do housework, fulfilling domestic tasks, looking after children",0.88,Better_situation,26 to 35 years old,0,1,No,0,Suburban/Peri-urban,Irregularly,0,1,Female,1,0,0,1,0
2714,4549016267522048,Distrito Federal,10,"I work full-time, either as an employee or self-employed",0.9,Better_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Female,1,1,0,1,0
2715,5589631210094592,Distrito Federal,4,I am a student,0.9,Good_situation,16 to 25 years old,0,0,Every day,0,City center or metropolitan area,There are enough,1,0,Non-Binary,1,1,1,1,0
2719,4809200403480576,Miranda,10,"I work part-time, either as an employee or self-employed",0.88,Better_situation,26 to 35 years old,0,1,No,0,Suburban/Peri-urban,Irregularly,0,1,Female,1,1,0,1,1
2722,6541399519657984,Distrito Federal,9,"I work full-time, either as an employee or self-employed",0.9,Better_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,There are not enough,0,0,Female,1,1,1,0,0
2725,5869765083267072,Distrito Federal,7,"I work full-time, either as an employee or self-employed",0.9,Midium_situation,36 to 45 years old,0,1,No,0,City center or metropolitan area,There are not enough,0,1,Female,1,0,0,1,1
2727,5317398600351744,Miranda,5,"I work part-time, either as an employee or self-employed",0.88,Midium_situation,Over 45 years old,0,0,No,0,Rural,Irregularly,0,0,Female,1,0,0,1,0
2728,4627158298525696,Distrito Federal,7,"I work full-time, either as an employee or self-employed",0.9,Midium_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Female,1,1,0,1,0
2731,4871146398023680,Distrito Federal,10,"I work full-time, either as an employee or self-employed",0.9,Midium_situation,36 to 45 years old,0,1,No,0,City center or metropolitan area,There are enough,0,0,Female,1,1,1,1,0
2732,6199311615655936,Distrito Federal,6,None of the above,0.9,Midium_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,There are not enough,0,1,Male,1,1,0,1,0
2733,4747417584140288,Distrito Federal,7,"I work full-time, either as an employee or self-employed",0.9,Midium_situation,26 to 35 years old,1,1,Every day,1,Rural,There are enough,1,1,Male,1,1,1,1,1
2738,5327093213954048,Monagas,5,I am a student,0.97,Bad_situation,16 to 25 years old,1,1,No,1,Rural,There are enough,1,1,Female,1,1,1,1,1
2740,5843205945032704,Monagas,9,"I work full-time, either as an employee or self-employed",0.97,Bad_situation,36 to 45 years old,0,1,No,0,Suburban/Peri-urban,There are enough,0,0,Female,1,0,1,1,0
2741,5325330935185408,Falcón,8,"I work part-time, either as an employee or self-employed",0.97,Better_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Male,1,1,1,1,0
2742,6400688774184960,Falcón,6,"I work full-time, either as an employee or self-employed",0.97,Bad_situation,36 to 45 years old,1,1,No,1,City center or metropolitan area,There are enough,1,0,Male,1,1,1,1,1
2744,6084706922921984,Falcón,8,I am a student,0.97,Bad_situation,26 to 35 years old,0,0,No,1,City center or metropolitan area,Irregularly,1,1,Male,1,0,0,1,1
2746,5171741898047488,Carabobo,5,I am unemployed,0.93,Good_situation,16 to 25 years old,0,1,No,0,Rural,There are not enough,0,0,Female,1,1,1,1,0
2747,4899823542337536,Carabobo,5,I am a student,0.93,Good_situation,26 to 35 years old,0,0,No,0,Rural,There are enough,0,0,Female,1,1,0,1,0
2748,6541362207129600,Carabobo,4,"I do housework, fulfilling domestic tasks, looking after children",0.93,Better_situation,16 to 25 years old,0,1,No,1,Rural,There are not enough,1,0,Female,1,1,1,1,0
2750,6312965577113600,Zulia,3,I am a student,0.96,Bad_situation,16 to 25 years old,1,0,No,1,Rural,There are not enough,0,1,Female,1,1,1,1,1
2753,4549346510241792,Zulia,5,"I work full-time, either as an employee or self-employed",0.96,Good_situation,16 to 25 years old,1,1,3 days,1,Suburban/Peri-urban,Irregularly,1,1,Male,1,1,1,1,0
2754,5745950101602304,Zulia,7,I am unemployed,0.96,Bad_situation,Over 45 years old,0,1,No,0,Suburban/Peri-urban,Irregularly,0,0,Male,1,0,1,1,1
2755,5894361069125632,Zulia,9,I am a student and I work part-time,0.96,Midium_situation,26 to 35 years old,0,0,No,0,Suburban/Peri-urban,There are enough,0,0,Female,1,1,0,0,0
2756,6021018530611200,Zulia,9,"I work full-time, either as an employee or self-employed",0.96,Better_situation,16 to 25 years old,0,0,No,0,City center or metropolitan area,Irregularly,1,1,Male,1,1,0,1,0
2757,5158306569256960,Zulia,9,"I work part-time, either as an employee or self-employed",0.96,Midium_situation,36 to 45 years old,1,0,No,0,Suburban/Peri-urban,There are enough,0,0,Female,1,0,0,0,0
2760,5669658933067776,Sucre,3,None of the above,0.98,Better_situation,Over 45 years old,1,0,1 day,1,City center or metropolitan area,There are not enough,1,1,Male,1,1,1,1,1
2765,5260479277826048,Zulia,8,I am a student,0.96,Bad_situation,16 to 25 years old,0,1,No,0,Suburban/Peri-urban,Irregularly,0,1,Male,1,1,1,1,0
2767,5504083044859904,Sucre,9,"I work part-time, either as an employee or self-employed",0.98,Better_situation,36 to 45 years old,0,1,No,0,Suburban/Peri-urban,Irregularly,0,0,Female,1,1,0,0,0
2768,6715079893712896,Zulia,7,"I work full-time, either as an employee or self-employed",0.96,Bad_situation,36 to 45 years old,0,1,No,0,City center or metropolitan area,There are enough,0,0,Male,1,1,1,0,0
2769,6410784598130688,Sucre,8,"I work part-time, either as an employee or self-employed",0.98,Bad_situation,26 to 35 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,0,Female,1,1,0,1,0
2772,5675535454961664,Sucre,7,None of the above,0.98,Bad_situation,16 to 25 years old,0,0,No,0,Suburban/Peri-urban,There are enough,0,0,Female,1,1,1,0,0
2774,5768221721624576,Distrito Federal,4,I am a student,0.9,Bad_situation,16 to 25 years old,0,0,No,0,City center or metropolitan area,Irregularly,1,0,Male,1,1,1,1,1
2775,6381761155301376,Sucre,7,I am a student,0.98,Midium_situation,16 to 25 years old,0,0,2 days,1,Rural,Irregularly,0,0,Male,1,0,1,1,0
2776,6541879952015360,Sucre,5,I am unemployed,0.98,Good_situation,16 to 25 years old,0,0,2 days,0,Rural,Irregularly,1,0,Female,1,1,1,0,1
2778,5236047222145024,Sucre,8,I am unemployed,0.98,Bad_situation,36 to 45 years old,0,0,No,0,Rural,Irregularly,1,0,Male,1,0,1,0,0
2779,5299147807916032,Sucre,8,I am a student and I work part-time,0.98,Good_situation,26 to 35 years old,0,0,No,1,City center or metropolitan area,Irregularly,0,1,Female,1,1,0,1,1
2780,5923522437447680,Sucre,9,I am unemployed,0.98,Midium_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Female,1,1,0,0,0
2781,6507991502422016,Sucre,5,I am unemployed,0.98,Midium_situation,16 to 25 years old,0,0,No,0,Rural,There are not enough,0,0,Female,1,0,0,1,0
2782,4727058164088832,Distrito Federal,8,"I work full-time, either as an employee or self-employed",0.9,Midium_situation,36 to 45 years old,0,1,No,0,Suburban/Peri-urban,There are not enough,0,1,Male,1,0,0,1,0
2783,6174731920474112,Sucre,9,"I work full-time, either as an employee or self-employed",0.98,Bad_situation,36 to 45 years old,0,1,No,0,City center or metropolitan area,Irregularly,0,0,Female,1,0,0,1,0
2785,5332366091616256,Sucre,1,I am unemployed,0.98,Good_situation,Over 45 years old,0,0,2 days,0,City center or metropolitan area,There are not enough,1,0,Male,1,1,1,1,1
2786,6630508414107648,Sucre,4,I am a student,0.98,Bad_situation,16 to 25 years old,1,1,No,1,Rural,There are not enough,1,1,Female,1,1,1,1,1
2787,4725740682870784,Distrito Federal,7,I am unemployed,0.9,Midium_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,There are not enough,0,0,Male,1,0,1,1,0
2788,5153798514540544,Distrito Federal,5,"I work part-time, either as an employee or self-employed",0.9,Midium_situation,16 to 25 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Male,1,1,1,1,1
2789,4842580369211392,Sucre,9,"I work part-time, either as an employee or self-employed",0.98,Bad_situation,36 to 45 years old,1,0,No,0,Suburban/Peri-urban,Irregularly,0,0,Female,1,0,0,1,0
2792,6744920772837376,Sucre,7,"I work part-time, either as an employee or self-employed",0.98,Midium_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,There are not enough,0,0,Female,1,1,1,1,0
2793,5147129168527360,Sucre,5,I am a student,0.98,Midium_situation,16 to 25 years old,0,1,1 day,1,Rural,Irregularly,0,0,Male,1,0,1,1,1
2795,6651729696522240,Sucre,9,"I work full-time, either as an employee or self-employed",0.98,Bad_situation,26 to 35 years old,0,0,No,0,Suburban/Peri-urban,There are not enough,0,0,Female,1,0,0,1,0
2796,6749186346450944,Zulia,9,"I work full-time, either as an employee or self-employed",0.96,Bad_situation,26 to 35 years old,0,0,2 days,0,Suburban/Peri-urban,Irregularly,0,0,Female,1,1,1,1,0
2798,5345004234211328,Zulia,7,"I work part-time, either as an employee or self-employed",0.96,Midium_situation,Over 45 years old,0,1,No,0,Suburban/Peri-urban,Irregularly,0,0,Male,1,0,0,1,0
2800,4916831830933504,Distrito Federal,9,I am unemployed,0.9,Better_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Female,1,1,1,1,0
2801,6256862835245056,Distrito Federal,7,"I work full-time, either as an employee or self-employed",0.9,Midium_situation,26 to 35 years old,0,1,No,1,City center or metropolitan area,Irregularly,1,0,Female,1,1,0,1,1
2805,5329511347650560,Distrito Federal,6,"I work full-time, either as an employee or self-employed",0.9,Good_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Male,1,1,1,0,1
2807,4802723995451392,Carabobo,1,I am unemployed,0.93,Bad_situation,16 to 25 years old,1,1,4 days,1,Rural,Irregularly,1,1,Male,1,1,1,0,1
2808,6581136422862848,Distrito Federal,5,"I work part-time, either as an employee or self-employed",0.9,Bad_situation,16 to 25 years old,0,1,No,0,Suburban/Peri-urban,Irregularly,0,1,Male,1,1,0,1,1
2809,6033947992784896,Distrito Federal,10,"I work full-time, either as an employee or self-employed",0.9,Good_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,There are not enough,0,0,Female,1,1,0,1,0
2810,6385053985931264,Distrito Federal,9,"I do housework, fulfilling domestic tasks, looking after children",0.9,Midium_situation,36 to 45 years old,1,1,No,1,City center or metropolitan area,There are enough,1,1,Female,1,1,1,1,1
2815,4731121119264768,Falcón,5,"I work full-time, either as an employee or self-employed",0.97,Good_situation,16 to 25 years old,1,0,No,1,Suburban/Peri-urban,Irregularly,1,1,Male,1,0,0,1,1
2816,5904886574350336,Miranda,9,I am unemployed,0.88,Better_situation,36 to 45 years old,1,0,No,0,Suburban/Peri-urban,There are not enough,0,1,Female,1,0,0,1,0
2817,5835568620765184,Miranda,5,I am unemployed,0.88,Better_situation,Over 45 years old,0,1,No,0,City center or metropolitan area,There are enough,0,0,Female,1,0,0,1,0
2818,5497671799537664,Miranda,6,I am unemployed,0.88,Midium_situation,16 to 25 years old,0,1,No,1,Suburban/Peri-urban,There are not enough,1,1,Male,1,0,0,1,1
2819,4560987012464640,Miranda,8,"I work full-time, either as an employee or self-employed",0.88,Good_situation,36 to 45 years old,0,1,No,0,Suburban/Peri-urban,There are not enough,0,1,Female,1,0,0,1,1
2823,5475470174060544,Miranda,5,I am a student,0.88,Midium_situation,16 to 25 years old,0,0,No,0,Rural,There are enough,0,0,Female,1,1,1,1,0
2824,4651232999505920,Miranda,7,"I work part-time, either as an employee or self-employed",0.88,Good_situation,36 to 45 years old,0,0,No,0,Rural,Irregularly,1,0,Female,1,1,1,0,0
2825,5020663135076352,Miranda,9,I am a student and I work part-time,0.88,Good_situation,16 to 25 years old,0,1,No,0,Suburban/Peri-urban,There are not enough,1,1,Female,1,0,0,1,0
2826,4878201938771968,Miranda,5,I am a student,0.88,Midium_situation,16 to 25 years old,1,0,1 day,1,City center or metropolitan area,There are enough,1,1,Male,1,1,0,0,0
2827,6249692387344384,Miranda,7,"I work part-time, either as an employee or self-employed",0.88,Better_situation,Over 45 years old,0,0,No,1,Suburban/Peri-urban,Irregularly,0,0,Female,1,0,0,1,1
2829,5742669350567936,Miranda,7,"I work part-time, either as an employee or self-employed",0.88,Better_situation,Over 45 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,1,0,Female,1,0,0,1,1
2833,5769616881352704,Miranda,5,I am a student and I work part-time,0.88,Better_situation,16 to 25 years old,1,0,No,0,Rural,Irregularly,1,0,Male,1,1,0,0,1
2835,5232113568972800,Miranda,9,"I work part-time, either as an employee or self-employed",0.88,Bad_situation,Over 45 years old,0,0,No,0,Suburban/Peri-urban,There are enough,0,1,Male,1,0,0,0,1
2838,4707699806961664,Miranda,9,"I work full-time, either as an employee or self-employed",0.88,Better_situation,36 to 45 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,0,Female,1,1,0,0,0
2839,5725103605415936,Miranda,5,I am a student,0.88,Bad_situation,16 to 25 years old,1,1,Every day,1,Rural,There are enough,1,1,Female,1,1,1,1,1
2840,4591018011000832,Miranda,6,"I work part-time, either as an employee or self-employed",0.88,Bad_situation,Over 45 years old,0,0,No,1,City center or metropolitan area,Irregularly,1,0,Male,1,1,1,0,0
2842,5808106868310016,Lara,9,"I work full-time, either as an employee or self-employed",0.95,Better_situation,26 to 35 years old,0,1,No,0,City center or metropolitan area,Irregularly,0,1,Male,1,0,1,1,1
2845,6747091140608000,Lara,7,I am unemployed,0.95,Bad_situation,Over 45 years old,0,1,No,0,City center or metropolitan area,Irregularly,0,1,Male,1,0,0,1,1
2846,6137482877075456,Lara,7,I am a student and I work part-time,0.95,Better_situation,16 to 25 years old,1,0,No,0,Suburban/Peri-urban,Irregularly,0,0,Male,1,1,1,1,0
2847,6705257286729728,Lara,5,I am unemployed,0.95,Midium_situation,26 to 35 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,0,Male,1,0,0,1,0
2848,6450530292596736,Lara,5,I am a student,0.95,Good_situation,16 to 25 years old,0,0,No,1,Rural,There are enough,0,1,Male,1,1,1,1,0
2849,5324678167265280,Lara,8,"I work full-time, either as an employee or self-employed",0.95,Midium_situation,Over 45 years old,0,1,No,0,City center or metropolitan area,Irregularly,0,1,Female,1,1,1,1,1
2850,5085504994541568,Lara,8,"I work part-time, either as an employee or self-employed",0.95,Midium_situation,26 to 35 years old,0,1,No,1,City center or metropolitan area,Irregularly,1,1,Female,1,0,0,1,0
2851,5350776334712832,Lara,5,"I work part-time, either as an employee or self-employed",0.95,Midium_situation,36 to 45 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,1,Female,1,1,1,1,0
2854,5647698027085824,Lara,9,None of the above,0.95,Good_situation,36 to 45 years old,0,1,No,1,City center or metropolitan area,There are not enough,0,0,Female,1,0,0,1,0
2855,6390797430947840,Lara,7,I am unemployed,0.95,Better_situation,Over 45 years old,1,1,No,1,Rural,Irregularly,0,0,Female,1,1,1,1,1
2856,5115631421882368,Lara,10,None of the above,0.95,Good_situation,36 to 45 years old,0,1,No,1,City center or metropolitan area,Irregularly,1,1,Male,1,1,0,1,1
2857,6316721039474688,Lara,9,"I work part-time, either as an employee or self-employed",0.95,Good_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Male,1,0,0,0,0
2860,6349348110860288,Lara,9,"I work part-time, either as an employee or self-employed",0.95,Bad_situation,36 to 45 years old,0,0,No,0,Rural,There are not enough,1,0,Prefer not to answer,1,1,0,0,1
2862,6114355820363776,Lara,7,None of the above,0.95,Midium_situation,36 to 45 years old,0,0,3 days,0,City center or metropolitan area,There are not enough,0,1,Female,1,0,0,1,1
2864,5119707681390592,Zulia,5,"I work full-time, either as an employee or self-employed",0.96,Better_situation,16 to 25 years old,0,1,No,0,Rural,There are not enough,0,1,Male,1,1,0,1,0
2865,5749432179228672,Zulia,5,I am a student,0.96,Midium_situation,16 to 25 years old,1,1,No,0,City center or metropolitan area,Irregularly,0,1,Male,1,0,1,1,1
2870,5035733973991424,Zulia,10,"I work part-time, either as an employee or self-employed",0.96,Better_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Female,1,0,1,1,0
2872,5281885931700224,Miranda,5,"I work part-time, either as an employee or self-employed",0.88,Midium_situation,26 to 35 years old,0,1,No,1,Suburban/Peri-urban,Irregularly,1,0,Male,1,1,0,1,0
2873,4994761596600320,Miranda,6,"I work part-time, either as an employee or self-employed",0.88,Better_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,1,Male,1,1,1,1,1
2875,5197501165731840,Miranda,5,I am a student and I work part-time,0.88,Midium_situation,16 to 25 years old,0,0,No,0,Rural,Irregularly,0,1,Male,1,0,0,1,0
2876,4856954047692800,Miranda,9,"I work part-time, either as an employee or self-employed",0.88,Good_situation,36 to 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,1,Female,1,0,0,1,0
2878,6061080442044416,Miranda,6,"I work full-time, either as an employee or self-employed",0.88,Better_situation,36 to 45 years old,0,1,No,0,City center or metropolitan area,There are enough,0,1,Male,1,0,1,0,0
2879,6117726212063232,Miranda,7,"I work part-time, either as an employee or self-employed",0.88,Midium_situation,36 to 45 years old,0,0,No,0,Rural,There are enough,0,0,Female,1,0,1,0,0
2881,5196315821867008,Zulia,7,"I work full-time, either as an employee or self-employed",0.96,Midium_situation,26 to 35 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,0,Male,1,1,0,1,0
2882,4513118578540544,Zulia,5,I am a student,0.96,Midium_situation,16 to 25 years old,0,0,No,0,City center or metropolitan area,There are not enough,0,0,Male,1,1,1,1,0
2883,5319140343808000,Zulia,4,I am a student and I work part-time,0.96,Bad_situation,16 to 25 years old,1,1,No,0,Rural,Irregularly,1,1,Male,1,0,0,1,1
2884,4770664161738752,Zulia,7,"I work full-time, either as an employee or self-employed",0.96,Midium_situation,16 to 25 years old,1,0,No,0,Suburban/Peri-urban,There are enough,0,0,Male,1,0,1,1,0
2885,4552763139948544,Trujillo,5,I am unemployed,0.97,Midium_situation,16 to 25 years old,0,1,No,1,City center or metropolitan area,There are enough,1,1,Female,1,0,0,1,0
2886,5196370247155712,Distrito Federal,9,"I work full-time, either as an employee or self-employed",0.9,Better_situation,26 to 35 years old,0,0,No,1,City center or metropolitan area,Irregularly,0,1,Male,1,0,0,1,1
2888,6425950798741504,Distrito Federal,6,"I work part-time, either as an employee or self-employed",0.9,Midium_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,1,Male,1,1,1,1,0
2889,4690179762946048,Distrito Federal,9,"I work full-time, either as an employee or self-employed",0.9,Midium_situation,26 to 35 years old,1,1,1 day,1,City center or metropolitan area,There are enough,0,0,Female,1,1,0,1,1
2890,6616285478912000,Distrito Federal,9,"I work part-time, either as an employee or self-employed",0.9,Midium_situation,36 to 45 years old,0,1,No,0,City center or metropolitan area,Irregularly,0,1,Female,1,0,0,1,0
2893,6499925553840128,Distrito Federal,5,I am a student,0.9,Midium_situation,16 to 25 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Female,1,0,1,0,0
2894,6118016474677248,Distrito Federal,5,I am a student,0.9,Bad_situation,16 to 25 years old,0,1,No,0,City center or metropolitan area,Irregularly,0,0,Female,1,0,0,1,0
2895,4656252809641984,Distrito Federal,9,"I do housework, fulfilling domestic tasks, looking after children",0.9,Midium_situation,26 to 35 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Female,1,0,0,1,0
2896,4707838722310144,Distrito Federal,5,I am a student and I work part-time,0.9,Bad_situation,16 to 25 years old,0,0,No,0,Suburban/Peri-urban,Irregularly,0,1,Female,1,0,0,1,0
2897,5369868789743616,Distrito Federal,8,"I work part-time, either as an employee or self-employed",0.9,Midium_situation,16 to 25 years old,0,0,No,0,City center or metropolitan area,Irregularly,0,0,Male,1,0,0,0,0
2898,5465763950624768,Distrito Federal,5,I am a student,0.9,Bad_situation,16 to 25 years old,0,0,No,1,City center or metropolitan area,Irregularly,1,0,Female,1,1,0,1,0
2899,6605867414978560,Distrito Federal,8,I am a student,0.9,Midium_situation,16 to 25 years old,0,0,No,1,Suburban/Peri-urban,There are not enough,0,1,Female,1,0,0,1,1
2900,5324171965104128,Distrito Federal,10,I am retired,0.9,Midium_situation,Over 45 years old,0,0,No,0,City center or metropolitan area,There are enough,0,0,Female,1,1,1,0,0
